id,repository,revision,path,license_path,license_spdx,immutable_url,license_url,verification_note
"github-dbom-core-readme","QuietWire-Civic-AI/dbom-core","110c804fea79302d3d0c59bf6300a91518e75313","README.md","LICENSE","Apache-2.0","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/README.md","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/LICENSE","QuietWire verified the document and Apache-2.0 LICENSE at the same immutable repository revision on 2026-09-02."
"github-dbom-why","QuietWire-Civic-AI/dbom-core","110c804fea79302d3d0c59bf6300a91518e75313","docs/Why_DBoM_Exists.md","LICENSE","Apache-2.0","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/docs/Why_DBoM_Exists.md","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/LICENSE","QuietWire verified the document and Apache-2.0 LICENSE at the same immutable repository revision on 2026-09-02."
"github-dbom-scitt-adapter","QuietWire-Civic-AI/dbom-core","110c804fea79302d3d0c59bf6300a91518e75313","examples/SCITT_Adapter.md","LICENSE","Apache-2.0","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/examples/SCITT_Adapter.md","https://github.com/QuietWire-Civic-AI/dbom-core/blob/110c804fea79302d3d0c59bf6300a91518e75313/LICENSE","QuietWire verified the document and Apache-2.0 LICENSE at the same immutable repository revision on 2026-09-02."
